"business_area_name","region_name","barr_date","revenue"
"Consolidated","Global","2013-01-01",15831000
"Consolidated","Global","2013-02-01",20037000
"Consolidated","Global","2013-03-01",20887000
"Consolidated","Global","2013-04-01",18493000
"Consolidated","Global","2013-05-01",17328000
"Consolidated","Global","2013-06-01",16442000
"Consolidated","Global","2013-07-01",18871000
"Consolidated","Global","2013-08-01",15763000
"Consolidated","Global","2013-09-01",15845000
"Consolidated","Global","2013-10-01",14464000
"Consolidated","Global","2013-11-01",12819000
"Consolidated","Global","2013-12-01",15143000
"Consolidated","Global","2014-01-01",13927000
"Consolidated","Global","2014-02-01",11782500
"Consolidated","Global","2014-03-01",12969500
"Consolidated","Global","2014-04-01",10532000
"Consolidated","Global","2014-05-01",17991000
"Consolidated","Global","2014-06-01",21255000
"Consolidated","Global","2014-07-01",11613000
"Consolidated","Global","2014-08-01",12142000
"Consolidated","Global","2014-09-01",17229000
"Consolidated","Global","2014-10-01",18740000
"Consolidated","Global","2014-11-01",16161000
"Consolidated","Global","2014-12-01",19538000
"Consolidated","Global","2015-01-01",11293184.4
"Consolidated","Global","2015-02-01",13122293.63
"Consolidated","Global","2015-03-01",18607213.43
"Consolidated","Global","2015-04-01",15152000
"Consolidated","Global","2015-05-01",13207000
"Consolidated","Global","2015-06-01",20061330.41
"Consolidated","Global","2015-07-01",14366000
"Consolidated","Global","2015-08-01",15745624
"Consolidated","Global","2015-09-01",15531000
"Consolidated","Global","2015-10-01",16251905.31
"Consolidated","Global","2015-11-01",19176000
"Consolidated","Global","2015-12-01",18157800
"Consolidated","Global","2016-01-01",11879570.67
"Consolidated","Global","2016-02-01",11856379.05
"Consolidated","Global","2016-03-01",19907492.47
"Consolidated","Global","2016-04-01",15845799.62
"Consolidated","Global","2016-05-01",16222562.31
"Consolidated","Global","2016-06-01",14723024.22
"Consolidated","Global","2016-07-01",14671568.5
"Consolidated","Global","2016-08-01",19047219.52
"Consolidated","Global","2016-09-01",16295035.54
"Consolidated","Global","2016-10-01",16219040
"Consolidated","Global","2016-11-01",17273978.46
"Consolidated","Global","2016-12-01",26947945.35
"A00 - Equipment","China","2017-01-01",373875.4675
"X00 - Other","EMEA","2017-01-01",15160.29
"A00 - Equipment","India","2017-01-01",1252216.0694
"F00 - GCCT","EMEA","2017-01-01",1306566.9427999998
"B00 - LTC","North America","2017-01-01",567793.73
"F00 - GCCT","Latin America","2017-01-01",383697.80120000005
"A00 - Equipment","EMEA","2017-01-01",-39904.71
"B00 - LTC","Eurasia","2017-01-01",1761772.4766999998
"Consolidated","Global","2017-01-01",17325135.7
"F00 - GCCT","Eurasia","2017-01-01",26827.236599999997
"B00 - LTC","Latin America","2017-01-01",1069308.4158
"F00 - GCCT","APAC","2017-01-01",1573939.2093999998
"B00 - LTC","APAC","2017-01-01",1246172.0618000003
"F00 - GCCT","China","2017-01-01",427.5373
"F00 - GCCT","India","2017-01-01",434595.5788
"A00 - Equipment","Latin America","2017-01-01",2117474.8499999996
"B00 - LTC","EMEA","2017-01-01",1036118.8953999999
"A00 - Equipment","APAC","2017-01-01",598637.23
"F00 - GCCT","North America","2017-01-01",607278.59
"B00 - LTC","India","2017-01-01",616272.6974
"A00 - Equipment","Eurasia","2017-01-01",1881584
"A00 - Equipment","North America","2017-01-01",-3054.0
"B00 - LTC","China","2017-01-01",458944
"A00 - Equipment","APAC","2017-02-01",851754.84
"F00 - GCCT","Eurasia","2017-02-01",21133.2908
"B00 - LTC","EMEA","2017-02-01",1357113.3253999997
"F00 - GCCT","EMEA","2017-02-01",1528843.5625
"X00 - Other","North America","2017-02-01",-300.0
"B00 - LTC","Eurasia","2017-02-01",1483419.6552
"B00 - LTC","India","2017-02-01",609394.7981
"X00 - Other","EMEA","2017-02-01",634.64
"F00 - GCCT","Latin America","2017-02-01",391486.9124
"B00 - LTC","North America","2017-02-01",881297.6499999999
"F00 - GCCT","APAC","2017-02-01",1670235.2121
"B00 - LTC","China","2017-02-01",184693.51629999996
"B00 - LTC","Latin America","2017-02-01",1288721.6193000001
"A00 - Equipment","Latin America","2017-02-01",1015939.4400000001
"B00 - LTC","APAC","2017-02-01",1730319.3598999998
"Consolidated","Global","2017-02-01",15392379.62
"F00 - GCCT","India","2017-02-01",278383.1018
"A00 - Equipment","EMEA","2017-02-01",22296.180000000004
"A00 - Equipment","Eurasia","2017-02-01",1259814
"A00 - Equipment","North America","2017-02-01",358021.55
"A00 - Equipment","China","2017-02-01",3034.85560000002
"X00 - Other","APAC","2017-02-01",132
"F00 - GCCT","North America","2017-02-01",517482.14
"A00 - Equipment","North America","2017-03-01",339258.16
"B00 - LTC","North America","2017-03-01",1059117.95
"F00 - GCCT","India","2017-03-01",448603.6582
"F00 - GCCT","North America","2017-03-01",540672.79
"X00 - Other","APAC","2017-03-01",-36.0
"F00 - GCCT","EMEA","2017-03-01",1424717.0140000002
"A00 - Equipment","Latin America","2017-03-01",2124247.59
"B00 - LTC","APAC","2017-03-01",1992810.5817000004
"X00 - Other","EMEA","2017-03-01",13612.689999999999
"A00 - Equipment","India","2017-03-01",3008748.2313
"A00 - Equipment","China","2017-03-01",551794.05
"F00 - GCCT","APAC","2017-03-01",1978194.4668999999
"B00 - LTC","China","2017-03-01",139126.9407
"B00 - LTC","Latin America","2017-03-01",1510412.3776
"F00 - GCCT","Eurasia","2017-03-01",43664.912299999996
"Consolidated","Global","2017-03-01",26948477.83
"B00 - LTC","India","2017-03-01",530039.3504
"X00 - Other","North America","2017-03-01",31
"A00 - Equipment","Eurasia","2017-03-01",2453262
"B00 - LTC","EMEA","2017-03-01",1426584.8882999998
"A00 - Equipment","APAC","2017-03-01",3770869.6
"B00 - LTC","Eurasia","2017-03-01",1452496.5892000003
"A00 - Equipment","EMEA","2017-03-01",1818318.3783
"F00 - GCCT","Latin America","2017-03-01",376466.88039999997
"A00 - Equipment","North America","2017-04-01",822427.9099999999
"A00 - Equipment","EMEA","2017-04-01",967461.2799999999
"F00 - GCCT","APAC","2017-04-01",1841356.775
"B00 - LTC","Eurasia","2017-04-01",2207482.7575000003
"A00 - Equipment","Eurasia","2017-04-01",2645298.9243
"A00 - Equipment","China","2017-04-01",34178.09999999997
"A00 - Equipment","India","2017-04-01",489400
"A00 - Equipment","APAC","2017-04-01",469003.36
"X00 - Other","North America","2017-04-01",83
"B00 - LTC","Latin America","2017-04-01",1534186.7858999998
"F00 - GCCT","North America","2017-04-01",596165.8400000001
"F00 - GCCT","EMEA","2017-04-01",956845.8405000002
"F00 - GCCT","India","2017-04-01",287313.3582
"B00 - LTC","North America","2017-04-01",681554.66
"F00 - GCCT","Eurasia","2017-04-01",9940.0405
"Consolidated","Global","2017-04-01",18511194.06
"F00 - GCCT","Latin America","2017-04-01",422881.84640000004
"B00 - LTC","India","2017-04-01",519744.32879999996
"B00 - LTC","APAC","2017-04-01",1421699.1305999998
"B00 - LTC","EMEA","2017-04-01",1662861.9576
"B00 - LTC","China","2017-04-01",131615.22189999997
"X00 - Other","APAC","2017-04-01",-55.0
"X00 - Other","EMEA","2017-04-01",12545.060000000003
"A00 - Equipment","Latin America","2017-04-01",807028.31
"X00 - Other","EMEA","2017-05-01",4768.18
"Consolidated","Global","2017-05-01",17845453.62
"X00 - Other","APAC","2017-05-01",-160.0
"A00 - Equipment","North America","2017-05-01",152130.88
"B00 - LTC","India","2017-05-01",751616.7886
"B00 - LTC","China","2017-05-01",76813.4145
"B00 - LTC","EMEA","2017-05-01",1272770.4520000005
"B00 - LTC","Eurasia","2017-05-01",1952371.6317999999
"A00 - Equipment","APAC","2017-05-01",533723
"F00 - GCCT","APAC","2017-05-01",1749495.0278000003
"F00 - GCCT","India","2017-05-01",384335.6631
"A00 - Equipment","China","2017-05-01",2912.7381000000005
"A00 - Equipment","Latin America","2017-05-01",941404.89
"A00 - Equipment","Eurasia","2017-05-01",1301709.8065
"F00 - GCCT","North America","2017-05-01",692760.2
"B00 - LTC","Latin America","2017-05-01",1491049.3749999998
"A00 - Equipment","EMEA","2017-05-01",2210286.852
"B00 - LTC","North America","2017-05-01",678393.7400000001
"B00 - LTC","APAC","2017-05-01",1735499.0230000003
"F00 - GCCT","Latin America","2017-05-01",434543.4978
"F00 - GCCT","Eurasia","2017-05-01",42320.3973
"X00 - Other","North America","2017-05-01",-340.0
"F00 - GCCT","EMEA","2017-05-01",1366084.1677
"X00 - Other","North America","2017-06-01",-303.0
"F00 - GCCT","North America","2017-06-01",643203.63
"Consolidated","Global","2017-06-01",23802475.4
"B00 - LTC","India","2017-06-01",823779.7448999999
"B00 - LTC","North America","2017-06-01",550169.8400000001
"F00 - GCCT","Latin America","2017-06-01",670157.5205
"A00 - Equipment","EMEA","2017-06-01",2570959.5738
"A00 - Equipment","North America","2017-06-01",1586523.42
"A00 - Equipment","China","2017-06-01",288717.9344
"B00 - LTC","China","2017-06-01",95446.4954
"B00 - LTC","APAC","2017-06-01",1596922.1029000003
"B00 - LTC","Eurasia","2017-06-01",1504409.9651
"B00 - LTC","EMEA","2017-06-01",1475794.6730999998
"X00 - Other","EMEA","2017-06-01",1287.41
"F00 - GCCT","India","2017-06-01",363674.8954
"A00 - Equipment","Latin America","2017-06-01",2990660.14
"F00 - GCCT","EMEA","2017-06-01",1317491.3672
"A00 - Equipment","Eurasia","2017-06-01",3078221.189
"F00 - GCCT","APAC","2017-06-01",1894070.2093
"A00 - Equipment","APAC","2017-06-01",1760858.8561000002
"F00 - GCCT","Eurasia","2017-06-01",25263.445200000002
"B00 - LTC","Latin America","2017-06-01",574194.0589
"F00 - GCCT","Eurasia","2017-07-01",27280.515699999996
"A00 - Equipment","North America","2017-07-01",366789.2
"B00 - LTC","Eurasia","2017-07-01",1461971.2817
"A00 - Equipment","EMEA","2017-07-01",150234.4519
"B00 - LTC","India","2017-07-01",590102.1599
"B00 - LTC","APAC","2017-07-01",1243627.2695
"A00 - Equipment","India","2017-07-01",1459550
"B00 - LTC","Latin America","2017-07-01",917266.5829
"Consolidated","Global","2017-07-01",16676414.34
"F00 - GCCT","India","2017-07-01",408790.8441
"B00 - LTC","China","2017-07-01",162655.082
"F00 - GCCT","APAC","2017-07-01",1894252.3429000003
"A00 - Equipment","China","2017-07-01",-6564.859999999997
"F00 - GCCT","Latin America","2017-07-01",729957.666
"B00 - LTC","North America","2017-07-01",643611.49
"A00 - Equipment","APAC","2017-07-01",1442972.9847
"X00 - Other","APAC","2017-07-01",-111.87
"X00 - Other","EMEA","2017-07-01",2846.15
"B00 - LTC","EMEA","2017-07-01",1380161.5588
"F00 - GCCT","EMEA","2017-07-01",722972.4596
"X00 - Other","North America","2017-07-01",-1146.0
"A00 - Equipment","Latin America","2017-07-01",588623.4100000001
"A00 - Equipment","Eurasia","2017-07-01",916213.0512
"F00 - GCCT","North America","2017-07-01",1219088.7
"F00 - GCCT","Latin America","2017-08-01",729285.0961
"A00 - Equipment","Latin America","2017-08-01",1335592.9726
"F00 - GCCT","APAC","2017-08-01",1686209.3434000001
"A00 - Equipment","North America","2017-08-01",507789.04
"X00 - Other","APAC","2017-08-01",-1277.0
"B00 - LTC","EMEA","2017-08-01",1560190.6414
"A00 - Equipment","Eurasia","2017-08-01",773245.6393
"F00 - GCCT","Eurasia","2017-08-01",29993.072399999997
"F00 - GCCT","EMEA","2017-08-01",1350170.2903999998
"A00 - Equipment","EMEA","2017-08-01",1368173.22
"B00 - LTC","India","2017-08-01",790129.2061
"A00 - Equipment","China","2017-08-01",18683.35
"B00 - LTC","APAC","2017-08-01",2013109.8942999998
"A00 - Equipment","India","2017-08-01",2140161
"X00 - Other","North America","2017-08-01",-1946.0
"B00 - LTC","Eurasia","2017-08-01",1491937.2199000001
"F00 - GCCT","North America","2017-08-01",736151.19
"B00 - LTC","North America","2017-08-01",1116179.3599999999
"Consolidated","Global","2017-08-01",20777645.14
"F00 - GCCT","India","2017-08-01",472566.9528
"A00 - Equipment","APAC","2017-08-01",1362771.28
"B00 - LTC","Latin America","2017-08-01",1063506.2750000001
"X00 - Other","EMEA","2017-08-01",11418.74
"B00 - LTC","China","2017-08-01",248416.0768
"F00 - GCCT","India","2017-09-01",463291.70979999995
"B00 - LTC","India","2017-09-01",860717.5479
"B00 - LTC","Latin America","2017-09-01",1139940.3559
"A00 - Equipment","North America","2017-09-01",998023.2
"F00 - GCCT","APAC","2017-09-01",1835099.3065
"B00 - LTC","Eurasia","2017-09-01",1605357.5218
"F00 - GCCT","North America","2017-09-01",652391.9
"B00 - LTC","North America","2017-09-01",903794.13
"A00 - Equipment","Eurasia","2017-09-01",356370
"B00 - LTC","EMEA","2017-09-01",1062179.8535000004
"A00 - Equipment","APAC","2017-09-01",1635376.92
"F00 - GCCT","EMEA","2017-09-01",1329515.1262
"F00 - GCCT","Latin America","2017-09-01",668938.0387
"A00 - Equipment","EMEA","2017-09-01",3062760.9869
"B00 - LTC","APAC","2017-09-01",1830167.6073999996
"Consolidated","Global","2017-09-01",22639387.78
"B00 - LTC","China","2017-09-01",163916.0801
"X00 - Other","APAC","2017-09-01",-226.24
"A00 - Equipment","Latin America","2017-09-01",1417064.6529
"A00 - Equipment","China","2017-09-01",-519.7799999999988
"F00 - GCCT","Eurasia","2017-09-01",65133.0634
"X00 - Other","EMEA","2017-09-01",5571.67
"A00 - Equipment","India","2017-09-01",2588701
"B00 - LTC","India","2017-10-01",942722.1031000001
"F00 - GCCT","APAC","2017-10-01",1783203.0922999997
"B00 - LTC","Latin America","2017-10-01",1444037.8261999998
"B00 - LTC","APAC","2017-10-01",1641984.7984000002
"X00 - Other","EMEA","2017-10-01",14703.339999999998
"A00 - Equipment","India","2017-10-01",4721966
"A00 - Equipment","Eurasia","2017-10-01",1490478.4755
"F00 - GCCT","Eurasia","2017-10-01",207122.834
"B00 - LTC","EMEA","2017-10-01",1483298.8577
"F00 - GCCT","Latin America","2017-10-01",682573.2055
"B00 - LTC","Eurasia","2017-10-01",1698178.0408
"F00 - GCCT","EMEA","2017-10-01",1268165.1238
"B00 - LTC","China","2017-10-01",222549.2113
"A00 - Equipment","APAC","2017-10-01",291048.68999999994
"A00 - Equipment","Latin America","2017-10-01",986799.9400000002
"A00 - Equipment","China","2017-10-01",-1284.970000000002
"Consolidated","Global","2017-10-01",21023866.53
"F00 - GCCT","India","2017-10-01",372819.14540000004
"B00 - LTC","North America","2017-10-01",753237.5
"A00 - Equipment","EMEA","2017-10-01",-139716.66679999995
"X00 - Other","North America","2017-10-01",798.8699999999999
"X00 - Other","APAC","2017-10-01",-9.5
"A00 - Equipment","North America","2017-10-01",-67973.40000000002
"F00 - GCCT","North America","2017-10-01",889689.7
"B00 - LTC","EMEA","2017-11-01",1303276.2841
"F00 - GCCT","EMEA","2017-11-01",1367302.4085
"B00 - LTC","Eurasia","2017-11-01",2118210.3689
"X00 - Other","North America","2017-11-01",-312.44
"A00 - Equipment","India","2017-11-01",2485377.91
"A00 - Equipment","APAC","2017-11-01",3208779
"B00 - LTC","Latin America","2017-11-01",1315948.1193
"A00 - Equipment","Eurasia","2017-11-01",1419868.1282
"A00 - Equipment","Latin America","2017-11-01",933909.1544000001
"A00 - Equipment","North America","2017-11-01",795785.18
"B00 - LTC","China","2017-11-01",169213.5074
"Consolidated","Global","2017-11-01",25132092.2
"F00 - GCCT","North America","2017-11-01",630981.3200000001
"F00 - GCCT","Eurasia","2017-11-01",104227.91649999999
"F00 - GCCT","India","2017-11-01",436224.5837
"F00 - GCCT","APAC","2017-11-01",1953415.4649
"A00 - Equipment","EMEA","2017-11-01",2536140.41
"X00 - Other","APAC","2017-11-01",-9379.56
"B00 - LTC","India","2017-11-01",722053.8425
"X00 - Other","EMEA","2017-11-01",15103.75
"B00 - LTC","North America","2017-11-01",683958.58
"A00 - Equipment","China","2017-11-01",531302.8182
"B00 - LTC","APAC","2017-11-01",1741112.6427999998
"F00 - GCCT","Latin America","2017-11-01",777590.6442
"F00 - GCCT","EMEA","2017-12-01",1160037.3853
"A00 - Equipment","Latin America","2017-12-01",1708695.9517
"F00 - GCCT","Eurasia","2017-12-01",78904.3108
"F00 - GCCT","Latin America","2017-12-01",636034.5756000001
"F00 - GCCT","North America","2017-12-01",573347.7
"B00 - LTC","India","2017-12-01",196139.8363
"A00 - Equipment","Eurasia","2017-12-01",5783461.6947
"B00 - LTC","APAC","2017-12-01",2166602.8491
"A00 - Equipment","APAC","2017-12-01",2960161.75
"B00 - LTC","China","2017-12-01",171061.8626
"F00 - GCCT","India","2017-12-01",373181.8691
"A00 - Equipment","India","2017-12-01",4441429.73
"F00 - GCCT","APAC","2017-12-01",1735626.7876
"B00 - LTC","Eurasia","2017-12-01",2367750.4124
"B00 - LTC","Latin America","2017-12-01",1056557.9891
"A00 - Equipment","EMEA","2017-12-01",850479.05
"B00 - LTC","North America","2017-12-01",1285890.7999999998
"X00 - Other","EMEA","2017-12-01",7835.97
"B00 - LTC","EMEA","2017-12-01",1099156.3841
"A00 - Equipment","China","2017-12-01",1236208.5108999999
"A00 - Equipment","North America","2017-12-01",731398.0700000001
"Consolidated","Global","2017-12-01",30673794.83
"A00 - Equipment","Eurasia","2018-01-01",1146218.2264
"A00 - Equipment","Latin America","2018-01-01",699303.1779
"B00 - LTC","Eurasia","2018-01-01",2184533.8919
"F00 - GCCT","India","2018-01-01",238942.5951
"X00 - Other","North America","2018-01-01",-2.76
"A00 - Equipment","India","2018-01-01",393370
"X00 - Other","EMEA","2018-01-01",17820.539999999997
"B00 - LTC","EMEA","2018-01-01",1245893.4645
"B00 - LTC","India","2018-01-01",683838.902
"B00 - LTC","China","2018-01-01",254677.81470000002
"B00 - LTC","North America","2018-01-01",660106.34
"Consolidated","Global","2018-01-01",19634329.57
"F00 - GCCT","North America","2018-01-01",477895.85
"F00 - GCCT","China","2018-01-01",32710.650800000003
"A00 - Equipment","China","2018-01-01",1144394.11
"B00 - LTC","APAC","2018-01-01",2063978.5722999999
"B00 - LTC","Latin America","2018-01-01",1077007.6147
"A00 - Equipment","North America","2018-01-01",817481.6200000001
"F00 - GCCT","Eurasia","2018-01-01",43442.183000000005
"A00 - Equipment","APAC","2018-01-01",1123828.84
"F00 - GCCT","EMEA","2018-01-01",1298272.2356999998
"F00 - GCCT","Latin America","2018-01-01",601439.1836000001
"X00 - Other","APAC","2018-01-01",5679.93
"F00 - GCCT","APAC","2018-01-01",1841386.1124999998
"A00 - Equipment","EMEA","2018-01-01",1569392.1060000001
"A00 - Equipment","APAC","2018-02-01",3279113.04
"B00 - LTC","EMEA","2018-02-01",1027363.9501
"A00 - Equipment","North America","2018-02-01",33173.15
"B00 - LTC","India","2018-02-01",877386.986
"A00 - Equipment","EMEA","2018-02-01",2531436.6168
"B00 - LTC","Eurasia","2018-02-01",1796477.8634000001
"F00 - GCCT","APAC","2018-02-01",1290828.2224
"F00 - GCCT","Latin America","2018-02-01",540649.5298
"A00 - Equipment","Eurasia","2018-02-01",1585880.13
"A00 - Equipment","Latin America","2018-02-01",2822492.94
"X00 - Other","EMEA","2018-02-01",2526.42
"Consolidated","Global","2018-02-01",23028363.26
"B00 - LTC","North America","2018-02-01",780166.98
"B00 - LTC","China","2018-02-01",95386.4584
"B00 - LTC","Latin America","2018-02-01",1039724.7864999999
"F00 - GCCT","EMEA","2018-02-01",1269951.1372
"B00 - LTC","APAC","2018-02-01",2485710.9177
"X00 - Other","North America","2018-02-01",1.42
"F00 - GCCT","Eurasia","2018-02-01",45463.37330000001
"F00 - GCCT","India","2018-02-01",252805.2276
"F00 - GCCT","North America","2018-02-01",511185.4
"A00 - Equipment","China","2018-02-01",725312.1600000003
"F00 - GCCT","APAC","2018-03-01",1555576.2477999998
"B00 - LTC","Latin America","2018-03-01",1146502.7908
"B00 - LTC","Eurasia","2018-03-01",2481244.4208
"B00 - LTC","North America","2018-03-01",840475.3999999999
"F00 - GCCT","China","2018-03-01",24664.3565
"X00 - Other","EMEA","2018-03-01",28084.52
"A00 - Equipment","North America","2018-03-01",514463.18
"X00 - Other","APAC","2018-03-01",-12798.060000000001
"A00 - Equipment","Latin America","2018-03-01",1237220.8800000001
